"File" "Phase" "h" "k" "l" "Angle" "d (nm)" "Intensity (deg*cts)" "Rel. intensity (%)" "Texture" "B1 (1/nm)" "B2 (1/nm)"
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 4 1 3 55.917500000 0.164300000 17.700100000 0.320000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 3 -1 55.971500000 0.164200000 25.120700000 0.450000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 4 2 -1 56.021200000 0.164000000 4.264200000 0.080000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 5 1 0 56.076600000 0.163900000 91.050000000 1.630000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 5 1 -1 56.174500000 0.163600000 8.944200000 0.160000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 1 3 1 56.280100000 0.163300000 16.451600000 0.290000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 2 1 5 56.405500000 0.163000000 1.168800000 0.020000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 0 0 6 56.875900000 0.161800000 0.013300000 0.000000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 4 2 1 57.248500000 0.160800000 26.169000000 0.470000000 1.000000000 1.000000000 0.000000000
"C:/Users/MEU PC/OneDrive/Desktop/Estudo de Casos. Minerais 2/Sample 1.RAW" "Gibbsite (hkl) (Gibbsite.str)" 3 2 3 57.324600000 0.160600000 4.629500000 0.080000000 1.000000000 1.000000000 0.000000000
